,아이디,맥주,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
79,"Moravius(2,754)",Kloud Original Gravity,"March 27, 2016",2.1,4,2,4,3,8
80,"alex_leit(11,288)",Kloud Original Gravity,"March 19, 2016",1.5,3,2,3,2,5
81,"mansquito(11,545)",Kloud Original Gravity,"January 21, 2016",2.4,5,3,5,3,8
82,"Beerhunter111(32,693)",Kloud Original Gravity,"January 5, 2016",1.8,3,2,3,2,8
83,"Erzengel(12,957)",Kloud Original Gravity,"December 31, 2015",2.9,6,4,6,4,9
84,ffbot(596),Kloud Original Gravity,"December 9, 2015",3.1,4,3,6,4,14
85,"trapped(6,204)",Kloud Original Gravity,"December 7, 2015",2.4,4,3,4,2,11
88,"jredmond(10,321)",Kloud Original Gravity,"November 23, 2015",2.3,5,3,4,2,9
89,"GIJOE(1,269)",Kloud Original Gravity,"September 2, 2015",1.9,3,3,3,2,8
90,"jbruner(8,195)",Kloud Original Gravity,"August 9, 2015",2.4,6,3,5,2,8
93,"DedicatedToFun(3,984)",Kloud Original Gravity,"March 30, 2015",2.5,6,2,6,2,9
94,"asheft(3,161)",Kloud Original Gravity,"January 24, 2015",2.4,5,3,4,3,9
95,"crossovert(16,747)",Kloud Original Gravity,"December 28, 2014",2.3,6,3,4,3,7
98,fredthecat(522),Kloud Original Gravity,"November 4, 2014",1.8,3,2,4,2,7
99,dhunter151(590),Kloud Original Gravity,"August 16, 2014",2.3,2,3,4,2,12
0,HighSparkDiesel(597),Kloud Fitz Super Clear,"September 25, 2020",1.6,4,2,4,2,4
1,futre7(339),Kloud Fitz Super Clear,"February 22, 2020",1.8,2,2,2,1,11
2,"Oakes(25,346)",Kloud Fitz Super Clear,"January 14, 2020",1.7,3,2,2,2,8
3,"YantarCoast(3,141)",Kloud Fitz Super Clear,"December 7, 2019",1.5,3,2,2,2,6
4,"mkel07(8,991)",Kloud Fitz Super Clear,"September 17, 2019",2.2,4,2,5,2,9
5,"kiwianer(4,070)",Kloud Fitz Super Clear,"February 13, 2019",1.1,2,1,2,1,5
6,"Ferris(23,110)",Kloud Fitz Super Clear,"January 30, 2019",2.5,5,3,5,3,9
8,"Bif(2,874)",Kloud Fitz Super Clear,"January 6, 2019",2.1,4,2,5,2,8
10,"crossovert(16,747)",Kloud Fitz Super Clear,"November 4, 2018",2.1,3,4,3,2,9
12,"fonefan(65,420)",Kloud Fitz Super Clear,"September 7, 2018",1.5,3,2,3,2,5
13,"Skarecrow(1,734)",Kloud Fitz Super Clear,"September 6, 2018",2.0,4,2,4,2,8
14,"pintbypint(4,303)",Kloud Fitz Super Clear,"August 6, 2018",2.4,5,3,4,3,9
15,"Pyobon(2,136)",Kloud Fitz Super Clear,"July 7, 2018",1.8,5,2,3,2,6
16,"TBone(23,237)",Kloud Fitz Super Clear,"July 7, 2018",1.6,3,2,3,2,6
17,"omhper(30,800)",Kloud Fitz Super Clear,"July 7, 2018",0.7,1,1,1,2,2
18,"Hermod(12,588)",Kloud Fitz Super Clear,"July 7, 2018",1.5,4,2,3,1,5
19,"GoufCustom(2,895)",Kloud Fitz Super Clear,"May 25, 2018",2.4,7,3,4,2,8
20,"Lore(4,436)",Kloud Fitz Super Clear,"April 18, 2018",0.5,1,1,1,1,1
21,"mile(4,635)",Kloud Fitz Super Clear,"April 1, 2018",1.5,3,2,3,2,5
22,miggle(583),Kloud Fitz Super Clear,"February 25, 2018",2.4,5,3,5,2,9
24,"Sledutah(9,567)",Kloud Fitz Super Clear,"September 30, 2017",2.2,4,3,4,2,9
3,"Foxbush(2,815)",Asahi Super Dry,"October 26, 2020",2.5,5,3,5,2,10
6,"vladeath(1,850)",Asahi Super Dry,"October 8, 2020",2.3,5,3,4,3,8
7,AndreiProdan(213),Asahi Super Dry,"September 28, 2020",2.5,5,3,5,3,9
8,BreweryTickers18(117),Asahi Super Dry,"September 2, 2020",1.6,4,3,3,2,4
10,BojanM(302),Asahi Super Dry,"August 17, 2020",2.0,4,1,5,2,8
13,vlada94(540),Asahi Super Dry,"July 16, 2020",2.4,5,2,4,2,11
14,dragnet101(828),Asahi Super Dry,"June 8, 2020",2.0,3,2,4,2,9
15,"rozsoma(2,268)",Asahi Super Dry,"November 6, 2020",2.6,5,3,5,3,10
21,BitterTamer20(375),Asahi Super Dry,"February 12, 2020",2.9,5,3,6,3,12
23,Maltmonster(178),Asahi Super Dry,"February 2, 2020",1.1,2,1,3,1,4
24,"hrabren(4,531)",Asahi Super Dry,"January 30, 2020",2.0,4,3,4,3,6
25,"jesperhammer(6,293)",Asahi Super Dry,"January 28, 2020",2.2,4,2,5,2,9
29,"mephisto(1,327)",Asahi Super Dry,"January 13, 2020",0.9,1,1,2,1,4
38,"ricardostercios(1,155)",Asahi Super Dry,"November 13, 2019",2.3,5,2,5,3,8
40,dzenkalpic(140),Asahi Super Dry,"November 1, 2019",1.8,4,2,4,2,6
45,BarrelMonger107(244),Asahi Super Dry,"August 25, 2020",3.9,7,4,7,4,17
46,"wozap(1,736)",Asahi Super Dry,"September 29, 2019",2.7,5,3,5,3,11
48,Rhombic(366),Asahi Super Dry,"September 25, 2019",1.7,4,1,3,2,7
52,"MasDen(1,348)",Asahi Super Dry,"September 1, 2019",2.0,3,5,3,4,5
53,GreenCat(514),Asahi Super Dry,"August 29, 2019",1.8,4,2,4,2,6
54,"nephirem(1,471)",Asahi Super Dry,"August 28, 2019",2.5,5,2,5,3,10
57,luka237(438),Asahi Super Dry,"August 25, 2019",1.9,4,2,4,3,6
58,"kolemkoukolem(2,214)",Asahi Super Dry,"August 22, 2019",1.3,1,2,2,1,7
59,gorthaurz(414),Asahi Super Dry,"August 22, 2019",2.1,3,2,5,2,9
64,dekris(846),Asahi Super Dry,"March 5, 2020",0.8,2,1,2,1,2
65,"FireGlider(1,239)",Asahi Super Dry,"August 10, 2019",3.0,7,3,7,2,11
66,MaltTasty27(485),Asahi Super Dry,"August 6, 2019",2.5,5,2,5,3,10
68,kalunapz(468),Asahi Super Dry,"August 4, 2019",2.2,5,2,5,2,8
74,"JStax(10,651)",Asahi Super Dry,"July 13, 2019",3.1,6,4,6,4,11
75,"dutchdarthvader(1,674)",Asahi Super Dry,"July 15, 2019",1.9,4,2,4,1,8
76,hehe_papiesz_xd(258),Asahi Super Dry,"July 10, 2019",2.0,3,2,5,2,8
79,Radubrew(228),Asahi Super Dry,"June 25, 2019",1.2,2,2,2,1,5
80,PubRespek15(322),Asahi Super Dry,"June 23, 2019",2.0,3,2,4,2,9
81,"ophone(1,379)",Asahi Super Dry,"June 16, 2019",2.4,6,3,4,2,9
83,lithilorn(484),Asahi Super Dry,"June 11, 2019",2.3,5,2,4,3,9
84,LagerGuide122(616),Asahi Super Dry,"June 9, 2019",2.9,4,3,6,3,13
85,royalbeer(503),Asahi Super Dry,"May 31, 2019",2.2,4,2,4,2,10
86,badpuppy69(736),Asahi Super Dry,"May 31, 2019",1.5,2,1,2,2,8
94,"dantomlinson(1,455)",Asahi Super Dry,"April 13, 2019",2.2,3,3,5,3,8
96,"Sven1973(1,296)",Asahi Super Dry,"April 5, 2019",2.2,4,3,4,3,8
98,foyle(629),Asahi Super Dry,"April 3, 2019",4.5,9,5,9,4,18
101,"17Beer(1,268)",Asahi Super Dry,"March 12, 2019",3.4,6,4,6,3,15
102,"ianwelby(2,702)",Asahi Super Dry,"March 6, 2019",2.9,6,5,6,3,9
104,"metalspice(2,070)",Asahi Super Dry,"February 28, 2019",2.3,6,3,4,2,8
105,"bubblehouse(1,916)",Asahi Super Dry,"February 20, 2019",2.4,4,2,5,3,10
108,browarpapi(809),Asahi Super Dry,"January 27, 2019",0.9,2,1,2,1,3
109,dr.dod(738),Asahi Super Dry,"January 22, 2019",2.4,6,2,5,2,9
111,"Suco(1,142)",Asahi Super Dry,"January 18, 2019",2.4,5,1,6,2,10
112,6bahudy9(341),Asahi Super Dry,"January 5, 2019",3.1,5,3,7,3,13
113,"Desverger(21,898)",Asahi Super Dry,"December 31, 2018",2.7,5,3,5,3,11
114,as1999(377),Asahi Super Dry,"December 23, 2018",2.2,3,2,5,3,9
115,"ozzy70(2,639)",Asahi Super Dry,"December 20, 2018",2.3,5,2,5,2,9
116,defabant(424),Asahi Super Dry,"December 14, 2018",2.4,2,2,4,2,14
120,"koorchuck(2,503)",Asahi Super Dry,"November 13, 2018",2.1,3,3,5,3,7
121,"sparta(2,208)",Asahi Super Dry,"November 13, 2018",2.6,5,3,5,3,10
122,"BeardedAvenger(4,194)",Asahi Super Dry,"November 10, 2018",2.6,4,3,6,3,10
123,"kto(2,942)",Asahi Super Dry,"November 5, 2018",2.4,4,3,5,2,10
126,"FlightLees22(1,459)",Asahi Super Dry,"October 23, 2018",2.5,5,2,5,2,11
129,jhsnitz1(966),Asahi Super Dry,"September 19, 2018",1.5,3,2,3,2,5
130,"pdog555(1,232)",Asahi Super Dry,"September 18, 2018",2.0,3,2,6,2,7
135,"borowik(1,070)",Asahi Super Dry,"August 20, 2018",2.2,4,3,4,3,8
136,"Johnsense(2,198)",Asahi Super Dry,"August 17, 2018",2.2,3,2,4,3,10
137,"DoctorHU(1,491)",Asahi Super Dry,"August 17, 2018",2.4,5,3,5,3,8
139,"bilcho1(1,406)",Asahi Super Dry,"July 22, 2018",2.7,3,4,5,4,11
141,Demens(750),Asahi Super Dry,"July 10, 2018",2.1,5,2,4,2,8
144,pijepiwo(908),Asahi Super Dry,"June 29, 2018",2.6,5,3,5,3,10
150,Flag08(458),Asahi Super Dry,"June 11, 2018",2.5,5,3,4,3,10
153,Jabic(983),Asahi Super Dry,"May 26, 2018",3.7,7,4,6,4,16
154,beeraholic29(397),Asahi Super Dry,"May 22, 2018",2.4,4,3,5,2,10
156,mmmeinike(577),Asahi Super Dry,"May 6, 2018",1.8,4,2,3,3,6
159,"jjgmd(3,260)",Asahi Super Dry,"May 1, 2018",1.7,3,2,3,2,7
160,"Fules(1,860)",Asahi Super Dry,"April 30, 2018",1.9,3,3,3,2,8
161,"Jerre(5,371)",Asahi Super Dry,"April 28, 2018",2.9,5,5,6,2,11
163,"Jabah(2,368)",Asahi Super Dry,"April 23, 2018",2.0,4,2,5,2,7
164,"inbirraveritas(1,666)",Asahi Super Dry,"April 20, 2018",2.2,4,3,4,2,9
165,"midovark(3,305)",Asahi Super Dry,"April 14, 2018",2.1,3,3,3,4,8
167,mkcmagico(905),Asahi Super Dry,"December 28, 2020",2.4,4,3,5,3,9
168,"MetalMurphy(1,362)",Asahi Super Dry,"March 29, 2018",2.2,5,3,5,3,6
169,"DWestrick(1,504)",Asahi Super Dry,"March 22, 2018",2.2,4,2,4,2,10
173,"Tasche39(1,049)",Asahi Super Dry,"March 5, 2018",2.1,3,3,4,3,8
176,"Jingis(2,117)",Asahi Super Dry,"February 21, 2018",2.9,7,4,5,4,9
180,kamilinho(733),Asahi Super Dry,"February 1, 2018",2.3,4,3,5,2,9
181,"puboflyons(4,360)",Asahi Super Dry,"February 1, 2018",3.1,7,4,5,3,12
183,"MarcoDL(7,813)",Asahi Super Dry,"January 20, 2018",2.6,5,3,5,3,10
184,ZxWx(200),Asahi Super Dry,"January 19, 2018",2.9,5,4,4,2,14
186,coil(613),Asahi Super Dry,"January 13, 2018",2.6,6,2,6,2,10
187,"Werckmeister(6,133)",Asahi Super Dry,"January 6, 2018",2.9,6,4,5,3,11
190,"hauxe(2,563)",Asahi Super Dry,"January 3, 2018",1.6,2,2,3,2,7
192,"caketm(3,306)",Asahi Super Dry,"December 31, 2017",2.3,4,3,5,3,8
193,"Cristobal37(2,153)",Asahi Super Dry,"December 28, 2017",2.7,4,3,6,2,12
194,"ryanscourt(1,851)",Asahi Super Dry,"December 24, 2017",2.4,4,3,4,3,10
196,yerffoeg(652),Asahi Super Dry,"December 18, 2017",2.2,3,2,4,2,11
197,MrW(866),Asahi Super Dry,"December 11, 2017",1.8,3,1,4,2,8
199,deepdrinker(384),Asahi Super Dry,"December 1, 2017",2.0,4,2,4,2,8
200,"macca147(1,839)",Asahi Super Dry,"November 26, 2017",2.2,4,3,4,2,9
201,Craftakt(871),Asahi Super Dry,"November 22, 2017",2.7,5,3,5,3,11
202,pleispleis(944),Asahi Super Dry,"November 19, 2017",1.8,4,2,3,2,7
203,"Sebilinz(4,159)",Asahi Super Dry,"November 16, 2017",2.6,5,3,5,3,10
204,"jbruner(8,195)",Asahi Super Dry,"November 10, 2017",2.6,5,4,5,4,8
205,Myonlyvice(675),Asahi Super Dry,"November 5, 2017",2.7,5,3,5,3,11
206,"Salian(1,170)",Asahi Super Dry,"October 31, 2017",1.9,4,2,4,2,7
207,"tgrtnr(1,599)",Asahi Super Dry,"October 29, 2017",1.9,3,1,4,2,9
208,stoutchap(425),Asahi Super Dry,"October 16, 2017",1.6,2,3,4,3,4
209,Pershing(726),Asahi Super Dry,"October 12, 2017",2.4,4,3,4,2,11
210,"Dredd(1,052)",Asahi Super Dry,"October 6, 2017",2.8,6,3,5,3,11
214,"TomHendriksen(4,139)",Asahi Super Dry,"September 20, 2017",2.6,5,3,5,2,11
215,"biilz(1,276)",Asahi Super Dry,"September 19, 2017",2.5,7,2,5,2,9
217,"labeerinthum(4,892)",Asahi Super Dry,"September 14, 2017",2.4,6,3,6,3,6
218,"dimeon(1,602)",Asahi Super Dry,"August 29, 2017",2.4,4,2,5,3,10
219,"Mr.Spooks(3,605)",Asahi Super Dry,"August 29, 2017",2.2,4,3,4,3,8
220,"DejanSt(1,743)",Asahi Super Dry,"August 27, 2017",2.9,7,4,6,3,9
222,martpez(619),Asahi Super Dry,"August 17, 2017",2.3,3,3,6,3,8
223,JuanCC(304),Asahi Super Dry,"August 16, 2017",3.0,6,3,6,3,12
224,"Atom(3,013)",Asahi Super Dry,"August 12, 2017",3.1,5,2,6,3,15
226,"Holmen1(10,355)",Asahi Super Dry,"August 4, 2017",1.8,3,3,3,3,6
227,"Holmen2(6,860)",Asahi Super Dry,"August 3, 2017",2.0,3,3,4,3,7
228,Acaro(472),Asahi Super Dry,"July 20, 2017",2.8,5,4,4,3,12
229,"wilde_joost59(1,187)",Asahi Super Dry,"July 14, 2017",2.6,5,3,5,3,10
234,StoutBeerReviews(482),Asahi Super Dry,"June 20, 2017",2.8,5,3,7,3,10
235,MarcoBasile(590),Asahi Super Dry,"June 9, 2017",1.5,3,2,3,2,5
236,stupre(538),Asahi Super Dry,"May 29, 2017",2.3,4,3,4,3,9
238,"Gangstergafje(2,467)",Asahi Super Dry,"May 12, 2017",2.0,4,2,4,2,8
239,"hawthorne00(5,947)",Asahi Super Dry,"May 8, 2017",2.2,4,4,4,2,8
240,"mabuzzer(1,639)",Asahi Super Dry,"May 7, 2017",2.1,3,2,4,3,9
241,sephyrott(677),Asahi Super Dry,"April 26, 2017",2.7,5,3,6,3,10
242,"60minuteman(1,764)",Asahi Super Dry,"April 26, 2017",2.3,4,4,3,3,9
245,Grumpelmies(819),Asahi Super Dry,"April 1, 2017",1.9,3,3,4,2,7
247,radassace(814),Asahi Super Dry,"March 14, 2017",3.0,6,3,6,3,12
248,"Tessic(1,809)",Asahi Super Dry,"March 6, 2017",1.7,3,2,4,2,6
249,"BeerViking(7,237)",Asahi Super Dry,"February 23, 2017",2.8,6,3,6,2,11
250,schavuitje(349),Asahi Super Dry,"February 14, 2017",0.6,1,2,1,1,1
252,"thejackpacker(1,992)",Asahi Super Dry,"February 29, 2020",2.2,4,3,4,2,9
254,"angel77(5,902)",Asahi Super Dry,"January 26, 2017",2.0,4,2,4,2,8
256,"explosivedog(6,047)",Asahi Super Dry,"January 21, 2017",2.0,4,2,3,3,8
257,Achel(487),Asahi Super Dry,"January 19, 2017",2.1,4,2,4,2,9
258,"DwarfeD(3,500)",Asahi Super Dry,"January 13, 2017",2.4,5,3,4,2,10
260,DerGantzel(518),Asahi Super Dry,"January 8, 2017",2.2,4,3,5,3,7
265,"Towey1989(5,546)",Asahi Super Dry,"December 27, 2016",2.4,4,4,3,3,10
267,PintjeFritz(712),Asahi Super Dry,"December 24, 2016",1.1,2,3,2,2,2
268,"ComradeK(1,725)",Asahi Super Dry,"December 24, 2016",1.1,1,2,2,2,4
269,"geologyguy(2,233)",Asahi Super Dry,"December 20, 2016",3.1,3,3,7,4,14
270,Tezminator(313),Asahi Super Dry,"December 13, 2016",2.8,5,3,6,3,11
272,CurlyJoe(731),Asahi Super Dry,"December 12, 2016",2.1,5,2,3,3,8
275,"PowY(3,318)",Asahi Super Dry,"December 7, 2016",2.4,5,3,6,3,7
276,"huineman(1,108)",Asahi Super Dry,"December 4, 2016",1.9,4,3,4,2,6
277,PlasticSoul(179),Asahi Super Dry,"November 30, 2016",2.4,4,3,5,2,10
279,"venom666(1,245)",Asahi Super Dry,"November 26, 2016",2.2,4,2,5,3,8
280,"tp35282(1,409)",Asahi Super Dry,"November 13, 2016",2.6,5,2,6,3,10
282,"acemilan(1,040)",Asahi Super Dry,"November 6, 2016",2.2,4,2,4,2,10
283,HighSparkDiesel(597),Asahi Super Dry,"November 5, 2016",2.9,4,2,6,3,14
284,"L_Lovecraft(1,133)",Asahi Super Dry,"November 2, 2016",2.7,5,3,6,3,10
288,Bierdimpfe(640),Asahi Super Dry,"October 14, 2016",2.1,2,2,5,2,10
289,"Skarecrow(1,734)",Asahi Super Dry,"October 14, 2016",2.3,3,4,4,2,10
290,EkinTelli(122),Asahi Super Dry,"October 13, 2016",2.7,4,3,6,3,11
291,"efeesse(1,189)",Asahi Super Dry,"October 11, 2016",2.6,6,4,5,4,7
293,Drinking_77(308),Asahi Super Dry,"September 18, 2016",2.1,8,4,2,3,4
294,"adamnase(1,437)",Asahi Super Dry,"September 17, 2016",2.0,4,2,4,2,8
296,JuanFlk80(392),Asahi Super Dry,"September 8, 2016",2.0,4,2,4,2,8
299,kdd230(107),Asahi Super Dry,"August 27, 2016",2.8,4,3,4,3,14
302,"rhoihessegold(6,370)",Asahi Super Dry,"August 16, 2016",2.2,5,3,4,3,7
303,"Ritzn(3,714)",Asahi Super Dry,"August 9, 2016",1.8,4,4,2,3,5
304,"superspak(9,600)",Asahi Super Dry,"August 9, 2016",3.5,6,4,7,4,14
306,Maits(839),Asahi Super Dry,"August 1, 2016",2.0,5,3,4,3,5
307,DavidAust(288),Asahi Super Dry,"July 27, 2016",1.8,3,3,4,3,5
312,"jamestulloch(6,555)",Asahi Super Dry,"June 30, 2016",3.5,6,4,7,4,14
314,"wheresthepath(2,963)",Asahi Super Dry,"June 27, 2016",1.8,3,2,4,2,7
315,"gschrade(1,341)",Asahi Super Dry,"June 23, 2016",2.8,5,5,5,3,10
316,"Wendigo(3,371)",Asahi Super Dry,"June 21, 2016",1.7,3,2,4,2,6
318,"SimonBlok(1,700)",Asahi Super Dry,"June 18, 2016",2.0,3,3,4,3,7
319,"radio_nowhere(1,474)",Asahi Super Dry,"June 15, 2016",2.1,3,3,3,3,9
320,wolfcarnival(288),Asahi Super Dry,"June 13, 2016",2.5,3,2,5,3,12
322,Evilman(264),Asahi Super Dry,"May 29, 2016",2.1,3,3,4,2,9
325,"Nurmis(1,820)",Asahi Super Dry,"May 21, 2016",2.6,5,3,5,3,10
326,"Headbanger(4,390)",Asahi Super Dry,"May 6, 2016",2.1,5,2,5,2,7
327,"elbernays(1,834)",Asahi Super Dry,"May 6, 2016",2.0,4,3,4,2,7
328,AaronTDubs(499),Asahi Super Dry,"May 4, 2016",2.7,4,3,5,2,13
329,"Leafs93(2,343)",Asahi Super Dry,"April 30, 2016",2.0,4,3,4,2,7
330,"ZodiacM(1,960)",Asahi Super Dry,"April 29, 2016",1.4,3,2,3,2,4
333,"evannell(2,989)",Asahi Super Dry,"March 27, 2016",2.5,4,4,4,4,9
335,"Obfuscate(1,152)",Asahi Super Dry,"March 26, 2016",3.8,7,4,8,4,15
337,Teran(430),Asahi Super Dry,"March 24, 2016",3.6,8,3,8,3,14
339,"Inoven(2,315)",Asahi Super Dry,"March 20, 2016",2.5,4,3,4,3,11
340,AnG_BrgNor(819),Asahi Super Dry,"March 16, 2016",2.0,4,2,4,1,9
341,"UXO(1,896)",Asahi Super Dry,"March 14, 2016",2.5,4,4,4,3,10
342,"jmgreenuk(14,585)",Asahi Super Dry,"March 5, 2016",2.1,5,3,3,2,8
343,ffbot(596),Asahi Super Dry,"February 24, 2016",2.6,5,3,5,3,10
344,"Alengrin(8,905)",Asahi Super Dry,"February 21, 2016",1.8,3,3,2,1,9
345,"Turtles(3,710)",Asahi Super Dry,"February 18, 2016",2.0,4,3,3,2,8
346,"josanguapo(4,071)",Asahi Super Dry,"July 7, 2018",3.2,6,3,6,4,13
347,"Jorn69(5,129)",Asahi Super Dry,"February 13, 2016",1.4,2,2,2,2,6
349,"Fritz123(1,535)",Asahi Super Dry,"February 1, 2016",1.2,3,2,2,2,3
350,daydesiang(115),Asahi Super Dry,"February 1, 2016",1.1,2,2,2,2,3
353,"mjik83(2,877)",Asahi Super Dry,"January 29, 2016",1.5,3,2,4,1,5
355,nausicaaonacids(50),Asahi Super Dry,"January 15, 2016",1.5,3,3,3,3,3
356,Keukeman(367),Asahi Super Dry,"January 15, 2016",2.0,5,3,4,3,5
357,Zilb(729),Asahi Super Dry,"January 7, 2016",2.2,4,2,4,2,10
358,donandres(828),Asahi Super Dry,"November 13, 2018",2.9,6,3,6,3,11
359,"KoNrRiI(2,146)",Asahi Super Dry,"January 3, 2016",1.7,3,2,3,2,7
360,BenWesthof(196),Asahi Super Dry,"January 2, 2016",3.4,7,3,7,4,13
